title,url,difficulty,step,lecture,patterns
User Input / Output,,Easy,1,,Math Basics
Data Types,,Easy,1,,Math Basics
If Else statements,,Easy,1,,Math Basics
Switch Statement,,Easy,1,,Math Basics
"What are arrays, strings?",,Easy,1,,Math Basics
For loops,,Easy,1,,Math Basics
While loops,,Easy,1,,Math Basics
Functions (Pass by Reference and Value),,Easy,1,,Math Basics
Time Complexity,,Easy,1,,Math Basics
Patterns,,Easy,1,,Math Basics
C++ STL,,Medium,1,,Math Basics
Java Collections,,Easy,1,,Math Basics
Count Digits,,Easy,1,,Number Theory
Reverse a Number,,Easy,1,,Number Theory
Check Palindrome,,Easy,1,,Math Basics
GCD Or HCF,,Easy,1,,Number Theory
Armstrong Numbers,,Easy,1,,Number Theory
Print all Divisors,,Easy,1,,Number Theory
Check for Prime,,Easy,1,,Number Theory
Understand recursion by print something N times,,Easy,1,,Recursion Basics
Print name N times using recursion,,Easy,1,,Recursion Basics
Print 1 to N using recursion,,Easy,1,,Recursion Basics
Print N to 1 using recursion,,Easy,1,,Recursion Basics
Sum of first N numbers,,Easy,1,,Number Theory
Factorial of N numbers,,Easy,1,,Number Theory
Reverse an array,,Easy,1,,Math Basics
Check if a string is palindrome or not,,Medium,1,,Math Basics
Fibonacci Number,,Easy,1,,Number Theory
Hashing Theory,,Medium,1,,Hashing
Counting frequencies of array elements,,Easy,1,,Math Basics
Find the highest/lowest frequency element,,Easy,1,,Math Basics
Selection Sort,,Easy,2,,Sorting
Bubble Sort,,Easy,2,,Sorting
Insertion Sort,,Easy,2,,Sorting
Merge Sort,,Medium,2,,Sorting
Recursive Bubble Sort,,Easy,2,,Sorting
Recursive Insertion Sort,,Easy,2,,Sorting
Quick Sort,,Easy,2,,Sorting
Largest Element in an Array,,Easy,3,,Array Basics
Second Largest Element in an Array without sorting,,Easy,3,,Array Basics
Check if the array is sorted,,Easy,3,,Array Basics
Remove duplicates from Sorted array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,3,,Two Pointers
Left Rotate an array by one place,,Easy,3,,Array Rearrangement
Left rotate an array by D places,,Easy,3,,Array Rearrangement
Move Zeros to end,https://leetcode.com/problems/move-zeroes/,Easy,3,,Two Pointers
Linear Search,,Easy,3,,Array Basics
Find the Union,,Medium,3,,Two Pointers
